Date,AAPL,MSFT,NVDA,AMZN,JPM,TSLA,XOM,PG
2024-08-31,0.15604164808557275,2.2809031124479368e-06,0.1439561488720451,-8.05220977926684e-06,0.34999970659732976,1.2483706099234372e-06,4.7437310431621425e-06,0.3500022894848162
2024-09-30,0.30000091883049873,9.90646736769402e-07,-2.651309863309988e-07,-5.0613721742980756e-06,0.3499995966297048,3.5383323591758393e-07,2.4342663621139474e-06,0.3500010345383907
2024-10-31,0.30000097143727605,5.104907734363399e-07,-2.068881507647625e-07,-3.0518903025260758e-06,0.3499997841589127,1.106544440078721e-07,1.3311403110489448e-06,0.35000055141969777
2024-11-30,-1.0332901782875035e-05,-8.468826682797298e-06,0.3000554922127667,-9.335621363273956e-06,0.3499931415455744,-6.2029790722005605e-06,-9.464080801939436e-06,0.34999521571625103
2024-12-31,-4.7800943021456686e-06,-3.6038749012947952e-06,0.22071766803522896,-2.8881119406111174e-06,0.34999811581345674,-9.866354411413193e-07,0.07929712514987802,0.349999336518443
2025-01-31,-4.219675233837724e-06,-3.238315455179059e-06,0.3499935209806849,-2.8280586396098663e-06,0.34999865142047226,-2.150473133465387e-06,0.1750213466654158,0.12499892855543715
2025-02-28,1.1236892595070323e-05,9.995299187912907e-06,0.35001170772796386,1.1323375517059535e-05,0.3500077812208108,1.4315750860319734e-05,0.09803097375420537,0.20190256481336175
2025-03-31,6.648372511003555e-06,5.9219893481738e-06,0.35000692688003104,6.705335070441624e-06,0.35000464630943484,8.455385896640146e-06,2.0793301840710015e-07,0.2999604873611316
2025-04-30,5.30366170425241e-06,0.14394698539066061,0.35000579774987894,3.2168663977659e-06,0.349999817466612,5.47334259075792e-06,0.013824429178277541,0.14220896651690934
2025-05-31,-6.525055590495927e-06,0.0977817576423341,0.3499923202905219,-8.013283784415507e-06,0.3499931342590676,-9.562490268917377e-06,0.20225656435925862,3.974334350590646e-07
2025-06-30,-4.663212884471935e-06,0.14469369016218828,0.34999464081293175,-5.521174760139568e-06,0.34999601892252946,-6.938619749605528e-06,0.15533383205717327,-1.0506045590030185e-06
2025-07-31,-1.8274439656006118e-06,2.7915545815409427e-06,0.34999798523585285,0.3000036035829364,0.3499990607841378,-3.0011559681288885e-06,9.566262994441801e-07,4.2452508992351116e-07
